46	H0046	אָבִיר	H:A-M	mighty	1) strong, mighty-used only to describe God<br>2) the Strong-old name for God (poetic)
47	H0047	אַבִּיר	H:A-M	mighty	1) mighty, valiant<br>1a) of men<br>1b) of angels<br>1c) of animals<br>1d) (metaph)<br>1d1) of enemies<br>1d2) of princes<br>1d3) of sacrificial objects<br>1e) obstinate (fig.)
48	H0048	אֲבִירָם	N:N-M-P	Abiram	Abiram = "my father is exalted" or "(the) Exalted One is (my) father"<br>1) a Reubenite, son of Eliab in exodus<br>2) son of Hiel the Bethelite who worked to rebuild Jericho
49	H0049	אֲבִישַׁג	N:N-F-P	Abishag	Abishag = "my father is a wanderer"<br>1) David's beautiful young nurse
50	H0050	אֲבִישׁוּעַ	N:N-M-P	Abishua	Abishua = "my father is rescue (safety), or is opulence"<br>1) son of Phinehas, grandson of Aaron
51	H0051	אֲבִישׁוּר	N:N-M-P	Abishur	Abishur = "my father is a wall"<br>1) son of Shammai, descendant of Judah
52	H0052	אֲבִישַׁי	N:N-M-P	Abishai	Abishai = "my father is Jesse" or "my father is a gift"<br>1) grandson of Jesse, nephew of David via his sister Zeruiah, brother of Joab
53	H0053	אֲבִישָׁלוֹם	N:N-M-P	Absalom	Absalom or Abishalom = "my father is peace"<br>1) father-in-law of Rehoboam<br>2) third son of David, killer of first-born son Amnon, also leader of revolt against his father-David
54	H0054	אֶבְיָתָר	N:N-M-P	Abiathar	Abiathar = "my father is great"<br>1) priest, son of Ahitub (Ahimelech), faithful to David, but later rebelled with Adonijah
55	H0055	אָבַךְ	H:V	to roll up	1) to roll, turn<br>1a) (Hithpael) to roll, roll up, billow
56	H0056	אָבַל	H:V	to mourn	1) to mourn, lament<br>1a) (Qal) to mourn, lament<br>1a1) of humans<br>1a2) of inanimate objects (fig.)<br>1a2a) of gates<br>1a2b) of land<br>1b) (Hiphil)<br>1b1) to mourn, cause to mourn (fig.)<br>1c) (Hithpael)<br>1c1) to mourn<br>1c2) play the mourner
57	H0057	אָבֵל	H:A	mourning	1) mourning<br>1a) for the dead<br>1b) because of calamity<br>1c) of rites of mourning<br>2) mourner (subst.)<br>2a) for the dead<br>2b) for calamity
58	H0058	אָבֵל	H:N-F	meadow	1) meadow (from verb-to grow green, to withstand)
59	H0059	אָבֵל	N:N--L	Abel	1) city in northern Israel near Bethmaachah<br>2) the place where the ark rested in the field of Joshua at Bethshemesh
60	H0060	אֵ֫בֶל	H:N-M	mourning	1) mourning<br>1a) for the dead<br>1b) for rites of mourning (metaph)<br>1c) mourning garb<br>1d) period of mourning
61	H0061	אֲבָל	H:ADV	truly	1) truly, verily, surely<br>2) but, however, howbeit<br>3) contrariwise, nay rather (neg.)
62	H0062	אָבֵל בֵּית־מֲעַכָה	N:N--L	Abel-beth-maachah	Abel Beth Maachah = "meadow of the house of Maachah"<br>1) city in northern Israel near Beth Maachah
63	H0063	אָבֵל הַשִּׁטִּים	N:N--L	Abel-shittim	Abel Shittim = "meadow of acacias"<br>1) place in lowlands of Moab
64	H0064	אָבֵל כְּרָמִים	N:N--L	Abel-keramim	Abel Keramim = "meadow of the vineyards"<br>1) a place in Ammon
65	H0065	אָבֵל מְחוֹלָה	N:N--L	Abel-meholah	Abel Meholah = "meadow of dancing"<br>1) a city of Issachar, birthplace of Elisha
66	H0066	אַבֵל מַיִם	N:N--L	Abel-maim	Abel Maim = "meadow of waters"<br>1) a city in northern Israel (perhaps Abel Beth Maachah)
67	H0067	אָבֵל מִצְרַיִם	N:N--L	Abel-mizraim	Abel Mizraim = "meadow of Egypt"<br>1) a place east of the Jordan (perhaps "as fertile as Egypt")
68	H0068	אֶ֫בֶן	H:N-F	stone	1) stone (large or small)<br>1a) common stone (in natural state)<br>1b) stone, as material<br>1b1) of tablets<br>1b2) marble, hewn stones<br>1c) precious stones, stones of fire<br>1d) stones containing metal (ore), tool for work or weapon<br>1e) weight<br>1f) plummet (stones of destruction) also made of metal<br>1g) stonelike objects, eg hailstones, stony heart, ice<br>1h) sacred object, as memorial Samuel set up to mark where God helped Israel to defeat the Philistines<br>1i) (simile)<br>1i1) sinking in water, motionlessness<br>1i2) strength, firmness, solidity<br>1i3) commonness<br>1j) (metaph)<br>1j1) petrified with terror<br>1j2) perverse, hard heart
69	H0069	אֶ֫בֶן	A:N-F	stone	1) stone<br>1a) a (the) stone<br>1b) stone, material of idols and buildings
70	H0070	אֹבֶן	H:N-M	wheel	1) wheel, disc<br>1a) potter's wheel<br>1b) bearing-stool, midwife's stool
71	H0071	אֲבָנָה	N:N--L	Abana	1) river Abana, Syrian river flowing through Damascus
72	H0072	אֶבֶן הָעֵזֶר	N:N--L	Eben-ezer	Ebenezer = "stone of help"<br>1) memorial stone erected by Samuel to mark where God helped Israel to defeat the Philistines-north of Jerusalem
73	H0073	אַבְנֵט	H:N-M	girdle	1) girdle, sash, waistband<br>1a) of high priest<br>1b) of other priests<br>1c) of high official
74	H0074	אֲבִינֵר	N:N-M-P	Abner	Abner = "my father is a lamp"<br>1) Saul's cousin and army captain, treacherously slain by Joab
75	H0075	אָבַס	H:V	to fatten	1) to feed, fatten<br>1a) (Qal) fattened (passive participle)
76	H0076	אֲבַעְבֻּעֹת	H:N-F	boil	1) blisters, boils (from root, to swell up)
77	H0077	אֶ֫בֶץ	N:N--L	Abez	Abez = "I will make white (or miry)"<br>1) a city in Issachar
78	H0078	אִבְצָן	N:N-M-P	Ibzan	Ibzan, "their whiteness (literally their tin - as white"<br>1) a Bethlehemite judge in time of the judges
79	H0079	אָבַק	H:V	to wrestle	1) (Niphal) to wrestle, grapple (get dusty), bedust
80	H0080	אָבָק	H:N-M	dust	1) dust<br>1a) on ground<br>1b) clouds (fig.)
81	H0081	אֲבָקָה	H:N-F	aromatic powder	1) aromatic powders, powder
82	H0082	אָבַר	H:V	to fly	1) (Hiphil) to fly (to move wings)
83	H0083	אֵ֫בֶר	H:N-M	wing	1) pinion, wing<br>1a) of bird (dove, eagle)<br>1b) of Babylonian king (fig.)
84	H0084	אֶבְרָה	H:N-F	pinion	1) pinion, wing<br>1a) of bird (ostrich, eagle, dove)<br>1b) of God (metaph)
85	H0085	אַבְרָהָם	N:N-M-P	Abraham	Abraham = "father of a multitude" or "chief of multitude"<br>1) friend of God and founder of Hebrew nation via God's elective covenant
86	H0086	אַבְרֵךְ	H:V	to bow	1) (meaning dubious) -a shout made to announce Joseph's chariot<br>1a) command<br>1b) bow
87	H0087	אַבְרָם	N:N-M-P	Abram	Abram = "exalted father"<br>1) original name of Abraham
88	H0088	אֹבֹת	N:N--L	Oboth	Oboth = "waterskins"<br>1) undetermined site of an Israelite camp in the wilderness (perhaps at east boundary of Moab)
89	H0089	אָגֵא	N:N-M-P	Agee	Agee = "I shall increase"<br>1) father of a warrior of David
90	H0090	אֲגָג	N:N-M-P	Agag	Agag = "I will overtop"<br>1) king of Amalek, spared by Saul but slain by Samuel
91	H0091	אֲגָגִי	N:N--PG	Agagite	Agagite = "I will overtop"<br>1) said of Haman, Haman the Agagite
92	H0092	אֲגֻדָּה	H:N-F	troop	1) band, binding<br>1a) cords, bands, thongs (metaphorical of slavery)<br>1b) bunch of hyssop<br>1c) band of men, troops<br>1d) vault (of the heavens), firmament (binding earth to the heavens)
93	H0093	אֱגוֹז	H:N-M	nut	1) nuts
94	H0094	אָגוּר	N:N-M-P	Agur	Agur = "gathered"<br>1) son of Jakeh, an author or compiler of <ref onclick="bcv(19,30,1)">Pr 30:1</ref>-<ref onclick="bcv(19,30,33)">33</ref>
95	H0095	אֲגוֹרָה	H:N-F	piece	1) payment, piece, coin
96	H0096	אֵ֫גֶל	H:N-M	drop	1) drop, reserve supply, collections, stores
97	H0097	אֶגְלַ֫יִם	N:N--L	Eglaim	Eglaim = "double reservoir"<br>1) a town in Moab
98	H0098	אֲגַם	H:N-M	pool	1) pool, troubled pool<br>1a) troubled or muddy (gloomy) pools, marshes<br>1b) any pool, pond<br>1c) swamp reeds, reeds, rush(es)
99	H0099	אָגֵם	H:A	grieved	1) stagnant pond
100	H0100	אַגְמֹן	H:N-M	bulrush	1) rush, bulrush<br>1a) used as cord or line (of twisted rushes or spun of rush fibre)<br>1b) of the lowly, insignificant (metaph)<br>2) sad, drooping<br>1a) of line of bulrushes<br>1b) bowing of the head (fig.)<br>1c) of the lowly (metaph)
101	H0101	אַגָּן	H:N-M	vessel	1) bowl, basins<br>1a) basins used in ritual<br>1b) human body (metaph), curves of the body (simile)<br>1c) of family of Eliakim (metaph)
102	H0102	אֲגַף	H:N-M	band	1) wing (of an army), band, army, hordes
103	H0103	אָגַר	H:V	to gather	1) to gather<br>1a) (Qal) to gather
104	H0104	אִגְּרָא	A:N-F	letter	1) letter, missive (Aramaic loan-word used in last OT books)
105	H0105	אֲגַרְטָל	H:N-M	basin	1) vessel, basket, leather bag, basin
106	H0106	אֶגְרֹף	H:N-M	fist	1) fist
107	H0107	אִגֶּ֫רֶת	H:N-F	letter	1) letter, missive
108	H0108	אֵד	H:N-M	mist	1) mist
109	H0109	אָדַב	H:V	to grieve	1) to grieve, cause grief<br>1a) (Hiph) to cause to grieve, to grieve, to cause grief
110	H0110	אַדְבְּאֵל	N:N-M-P	Adbeel	Adbeel = "chastened of God"<br>1) third son of Ishmael and grandson of Abraham
111	H0111	אֲדַד	N:N-M-P	Hadad	Hadad = "I shall move softly: I shall love"<br>1) an Edomite enemy God raised up to punish Solomon for his sins
112	H0112	אִדּוֹ	N:N-M-P	Iddo	Iddo = "I will praise him"<br>1) a chief Israelite during resettlement
113	H0113	אָדוֹן	H:N-M	lord	1) firm, strong, lord, master<br>1a) lord, master<br>1a1) reference to men<br>1a1a) superintendent of household, of affairs<br>1a1b) master<br>1a1c) king<br>1a2) reference to God<br>1a2a) the Lord God<br>1a2b) Lord of the whole earth<br>1b) lords, kings<br>1b1) reference to men<br>1b1a) proprietor of hill of Samaria<br>1b1b) master<br>1b1c) husband<br>1b1d) prophet<br>1b1e) governor<br>1b1f) prince<br>1b1g) king<br>1b2) reference to God<br>1b2a) Lord of lords (probably = "thy husband, Yahweh")<br>1c) my lord, my master<br>1c1) reference to men<br>1c1a) master<br>1c1b) husband<br>1c1c) prophet<br>1c1d) prince<br>1c1e) king<br>1c1f) father<br>1c1g) Moses<br>1c1h) priest<br>1c1i) theophanic angel<br>1c1j) captain<br>1c1k) general recognition of superiority<br>1c2) reference to God<br>1c2a) my Lord, my Lord and my God<br>1c2b) Adonai (parallel with Yahweh)
114	H0114	אַדּוֹן	N:N--L	Addon	Addon = "powerful"<br>1) an Israelite?
115	H0115	אֲדוֹרַ֫יִם	N:N--L	Adoraim	Adoraim = "double glory"<br>1) city in Judah fortified by Rehoboam about 5 miles or 8 km SW of Hebron
116	H0116	אֱדַ֫יִן	A:ADV	then	1) then, afterwards, thereupon, from that time
117	H0117	אַדִּיר	H:A	great	1) great, majestic<br>1a) of waters of sea<br>1b) of a tree<br>1c) of kings, nations, gods<br>2) great one, majestic one<br>2a) of nobles, chieftains, servants
118	H0118	אֲדַלְיָא	N:N-M-P	Adalia	Adalia = "I shall be drawn up of Jah"<br>1) fifth son of Haman, executed at same time
119	H0119	אָדֹם	H:V	to redden	1) to be red, red<br>1a) (Qal) ruddy (of Nazarites)<br>1b) (Pual)<br>1b1) to be rubbed red<br>1b2) dyed red<br>1b3) reddened<br>1c) (Hiphil)<br>1c1) to cause to show red<br>1c2) to glare<br>1c3) to emit (show) redness<br>1d) (Hithpael)<br>1d1) to redden<br>1d2) to grow red<br>1d3) to look red
120	H0120	אָדָם	H:N-M	man	1) man, mankind<br>1a) man, human being<br>1b) man, mankind (much more frequently intended sense in OT)<br>1c) Adam, first man<br>1d) city in Jordan valley
121	H0121	אָדָם	N:N-M-P + N:N--L	Adam	Adam = "red"<br>1) first man<br>2) city in Jordan valley
122	H0122a	אָדֹם	H:A	red	1) red, ruddy (of man, horse, heifer, garment, water, lentils)
123	H0122b	אֱדֹם	H:N-M	red stuff	1) name of a condiment 
124	H0123	אֱדוֹם	N:N-M-P + N:N--L	Edom	Edom = "red"<br>1) Edom<br>2) Edomite, Idumean-descendants of Esau<br>3) land of Edom, Idumea-land south and south east of Palestine
125	H0124	אֹ֫דֶם	H:N-F	sardius	1) ruby, carnelian (redness)<br>1a) precious stone
126	H0125	אֲדַמְדָּם	H:A	reddish	1) reddish, be reddish
127	H0126	אַדְמָה	N:N--L	Admah	Admah = "red earth"<br>1) city in the Siddim valley
128	H0127	אֲדָמָה	H:N-F	land	1) ground, land<br>1a) ground (as general, tilled, yielding sustenance)<br>1b) piece of ground, a specific plot of land<br>1c) earth substance (for building or constructing)<br>1d) ground as earth's visible surface<br>1e) land, territory, country<br>1f) whole inhabited earth<br>1g) city in Naphtali
129	H0128	אֲדָמָה	N:N--L	Adamah	Adamah = "the earth"<br>1) city in Naphtali
130	H0129	אֲדָמִי הַנֶּ֫קֶב	N:N--L	Adami Nekeb	Adami = "man of Adar"<br>1) a pass or fortified place in Naphtali
131	H0130	אֲדֹמִי	N:N--PG	Edomite	1) Edomite
132	H0131	אֲדֻמִּים	N:N--L	Adummim	Adummim = "ruddy one: quieted ones?"<br>1) pass or ridge of hills, west of Gilgal
133	H0132	אַדְמוֹנִי	H:A	red	1) red, ruddy (of Esau as infant)
134	H0133	אַדְמָתָא	N:N-M-P	Admatha	Admatha = "a testimony to them"<br>1) prince of Persia in reign of Ahasuerus (Xerxes)
135	H0134	אֶ֫דֶן	H:N-M	socket	1) base, pedestal, socket (strong, firm)<br>1a) pedestals of gold on which marble pillars were set<br>1b) pedestals of the earth, foundation of the earth<br>1c) pedestals, bases, or sockets on which tabernacle stood
136	H0135	אַדָּן	N:N--L	Addan	Addan = "strong, firm"<br>1) place in Babylon, from which exiles returned
137	H0136	אֲדֹנָי	H:N-M	Lord	1) my lord, lord<br>1a) of men<br>1b) of God<br>2) Lord-title, spoken in place of Yahweh in Jewish display of reverence
138	H0137	אֲדֹנִי־בֶ֫זֶק	N:N-M-P	Adoni-bezek	Adoni-Bezek = "my lord is Besek"<br>1) king of the Canaanite city of Bezek, killed by Israelites
139	H0138	אֲדֹנִיָּ֫הוּ	N:N-M-P	Adonijah	Adonijah = "my lord is Jehovah"<br>1) fourth son of David and Solomon's rival for the throne<br>2) Levite sent by Jehoshaphat to teach the Law<br>3) a chief of the people who co-operated with Nehemiah
140	H0139	אֲדֹנִי־צֶ֫דֶק	N:N-M-P	Adoni-zedek	Adoni-zedek = "my lord is righteous"<br>1) Canaanite king slain by Joshua
141	H0140	אֲדֹנִיקָם	N:N-M-P	Adonikam	Adonikam = "my lord arose"<br>1) the head of an Israelite clan who returned from exile
142	H0141	אֲדֹנִירָם	N:N-M-P	Adoniram	Adoniram = "my lord is exalted"<br>1) one of Solomon's officers
143	H0142	אָדַר	H:V	be glorious	1) to be great, be majestic, wide, noble (poetic)<br>1a) (Niphal) majestic, glorious (participle)<br>1b) (Hiphil) make glorious
144	H0143	אֲדָר	N:N--T	Adar	Adar = "glorious"<br>1) twelfth month, corresponding to modern March-April
145	H0144	אֲדָר	A:N--T	Adar	Adar = "glorious"<br>1) twelfth month, corresponding to modern March or April
146	H0145	אֶ֫דֶר	H:N	robe	1) glory, magnificence<br>2) mantle, cloak (as wide)
147	H0146	אַדָּר	N:N-M-P + N:N--L	Addar	Addar or Adar = "exceeding glorious"<br>1) son of Bela and Benjamin's grandson<br>2) city in Judah near Edom
148	H0147	אִדַּר	A:N-F	threshing floor	1) threshing floor
149	H0148	אֲדַרְגָּזֵר	A:N-M	judge	1) judge (diviner), counsellor
150	H0149	אַדְרַזְדָּא	A:ADV	diligently	1) correctly, exactly, diligently, earnestly
151	H0150	אֲדַרְכֹּן	H:N-M	dram	1) drachma, dram, daric-unit of weight and value (of gold, money) equal to 128 grains or 4.32 grams
152	H0151	אֲדֹרָם	N:N-M-P	Adoram	Adoram = "my lord is exalted"<br>1) an officer of David<br>2) an officer of Rehoboam
153	H0152	אַדְרַמֶּ֫לֶךְ	N:N-M-P + N:N-M-T	Adrammelech	Adrammelech = "honour of the king" or "Adar is prince" or "Adar is Counsellor, Decider"<br>1) an idol or god of the Sepharvites, introduced to Israel by Shalmaneser the fifth<br>2) the son and murderer of Sennacherib
154	H0153	אֶדְרַע	A:N-F	force	1) strong, force, arm, power
155	H0154	אֶדְרֶ֫עִי	N:N--L	Edrei	Edrei = "goodly pasture"<br>1) a chief city of Bashan, north of Jabbok river
156	H0155	אַדֶּ֫רֶת	H:N-F	clothing	1) glory, cloak<br>1a) glory, splendour, magnificence (of a vine, shepherds)<br>1b) mantle, cloak made of fur or fine material<br>1b1) prophet's garment
157	H0156	אָדַשׁ	H:V	to thresh	1) (Qal) to tread, tread on, thresh, trample on
158	H0157	אָהֵב	H:V	to love	1) to love<br>1a) (Qal)<br>1a1) human love for another, includes family, and sexual<br>1a2) human appetite for objects such as food, drink, sleep, wisdom<br>1a3) human love for or to God<br>1a4) act of being a friend<br>1a4a) lover (participle)<br>1a4b) friend (participle)<br>1a5) God's love toward man<br>1a5a) to individual men<br>1a5b) to people Israel<br>1a5c) to righteousness<br>1b) (Niphal)<br>1b1) lovely (participle)<br>1b2) loveable (participle)<br>1c) (Piel)<br>1c1) friends<br>1c2) lovers (fig. of adulterers)<br>2) to like
159	H0158	אַ֫הַב	H:N-M	lover	1) loves, amours (only in plural) ahbym<br>2) (TWOT) love
160	H0159	אֹ֫הַב	H:N-M	beloved	1) loved object<br>2) (TWOT) love
161	H0160	אַהֲבָה	H:N-F	love	1) love<br>1a) human love for human object<br>1a1) of man toward man<br>1a2) of man toward himself<br>1a3) between man and woman<br>1a4) sexual desire<br>2) God's love to His people
162	H0161	אֹ֫הַד	N:N-M-P	Ohad	Ohad = "united"<br>1) son of Simeon and grandson of Jacob
163	H0162	אֲהָהּ	H:INJ	alas!	1) alas!, oh!, ah!
164	H0163	אַהֲוָא	N:N--L	Ahava	Ahava = "I shall subsist"<br>1) town or area in Babylonia
165	H0164	אֵהוּד	N:N-M-P	Ehud	Ehud = "I will give thanks: I will be praised" or "undivided, union" in (<ref onclick="bcv(13,8,6)">1Ch. 8:6</ref>) only<br>1) Benjamite judge of Israel, deliverer of Israel from Moab<br>2) another Benjamite, son of Bilhan (<ref onclick="bcv(13,8,6)">1Ch 8:6</ref>)
166	H0165	אֱהִי	H:ADV	where?	1) where
167	H0166	אָהַל	H:V	to shine	1) (Hiphil) to be clear, shine
168	H0167	אָהַל	H:V	to pitch	1) to pitch a tent, to move a tent<br>1a) (Qal) pitch or remove a tent<br>1a) (Piel) to pitch one's tent
169	H0168	אֹ֫הֶל	H:N-M	tent	1) tent<br>1a) nomad's tent, and thus symbolic of wilderness life, transience<br>1b) dwelling, home, habitation<br>1c) the sacred tent of Jehovah (the tabernacle)
170	H0169	אֹ֫הֶל	N:N-M-P	Ohel	Ohel = "tent"<br>1) son of Zerubbabel
171	H0170	אׇהֳלָה	N:N-F-P	Aholah	Aholah = "her own tent"<br>1) Samaria as an adulteress with Assyria (metaph)
172	H0171	אׇהֳלִיאָב	N:N-M-P	Aholiab	Aholiab = "Father's tent"<br>1) chief assistant of Bezaleel in construction of the tabernacle
173	H0172	אׇהֳלִיבָה	N:N-F-P	Aholibah	Aholibah = "woman of the tent" or "the tent is in her"<br>1) (metaph) Jerusalem as adulterous wife of Jehovah
174	H0173	אׇהֳלִיבָמָה	N:N-F-P	Aholibamah	Aholibamah = "tent of the high place"<br>1) wife of Esau<br>2) an Edomite chieftain
175	H0174	אָהָל	H:N-F	aloe	1) aloes, aloe tree<br>1a) aloe tree<br>1b) aloe (perfume)
176	H0175	אַהֲרֹן	N:N-M-P	Aaron	Aaron = "light bringer"<br>1) brother of Moses, a Levite and the first high priest
177	H0176a	אוֹ	H:CONJ	or	1) or, rather<br>1a) implying that the latter choice is preferred<br>1b) or if, introducing an example to be seen under a particular principle<br>1c) (in series) either...or, whether...or<br>1d) if perchance<br>1e) except, or else<br>2) whether, not the least, if, otherwise, also, and, then
178	H0176b	אוֹ	H:N-M	desire	1) desire
179	H0177	אוּאֵל	N:N-M-P	Uel	Uel = "wish or will of God"<br>1) a Judean who had taken a foreign woman during the exile
180	H0178	אוֹב	H:N-M	medium	1) water skin bottle<br>2) necromancer<br>1b) necromancer, one who evokes the dead<br>1c) ghost, spirit of a dead one<br>1d) practice of necromancy<br>3) one that has a familiar spirit
181	H0179	אוֹבִיל	N:N-M-P	Obil	Obil = "camel driver"<br>1) manager of David's camels
182	H0180	אוּבַל	H:N-M	river	1) stream, river
183	H0181	אוּד	H:N-M	firebrand	1) brand, fire brand
184	H0182	אוֹדָה	H:N-F	because	1) cause<br>1a) cause, reason for<br>1b) the occasion of
185	H0183	אָוָה	H:V	to desire	1) desire, incline, covet, wait longingly, wish, sigh, want, be greedy, prefer<br>1a) (Piel) to desire, crave (food and drink)<br>1b) (Hithpael) to desire, long for, lust after (of bodily appetites)
186	H0184	אָוָה	H:V	to mark	1) to sign, mark, describe with a mark<br>1a) (Hithpael) to measure, mark out, mark you out
187	H0185	אַוָּה	H:N-F	desire	1) desire, lust, will (not necessarily evil)
